DJI_20260813183004_0001_Z_01m56s.jpg	88	465,832,2,3	6	40,29,22	19.1
DJI_20260813183004_0001_Z_03m40s.jpg	0	605,192,16,17	187	187,179,149	734.1
DJI_20260813183004_0001_Z_03m40s.jpg	1	119,258,23,13	143	118,95,87	551.2
DJI_20260813183004_0001_Z_03m40s.jpg	2	568,162,21,16	125	159,155,131	491.0
DJI_20260813183004_0001_Z_03m40s.jpg	3	765,707,24,13	127	154,130,120	488.9
DJI_20260813183004_0001_Z_03m40s.jpg	4	1485,71,18,14	123	42,46,46	425.7
DJI_20260813183004_0001_Z_03m40s.jpg	5	830,163,13,14	109	84,58,53	415.3
DJI_20260813183004_0001_Z_03m40s.jpg	6	1863,660,26,18	109	72,80,78	406.1
DJI_20260813183004_0001_Z_03m40s.jpg	7	958,482,10,13	84	160,130,137	369.6
DJI_20260813183004_0001_Z_03m40s.jpg	8	1300,76,8,13	85	44,39,56	349.3
DJI_20260813183004_0001_Z_03m40s.jpg	9	416,888,8,13	81	102,103,120	347.9
DJI_20260813183004_0001_Z_03m40s.jpg	10	735,653,18,8	94	117,94,86	347.5
DJI_20260813183004_0001_Z_03m40s.jpg	11	47,11,26,11	95	228,229,216	294.5
DJI_20260813183004_0001_Z_03m40s.jpg	12	0,225,7,12	66	107,89,98	271.9
DJI_20260813183004_0001_Z_03m40s.jpg	13	133,919,11,12	69	144,126,132	267.8
DJI_20260813183004_0001_Z_03m40s.jpg	14	487,503,10,10	71	116,92,85	264.1
DJI_20260813183004_0001_Z_03m40s.jpg	15	1047,1030,7,12	61	72,70,87	260.7
DJI_20260813183004_0001_Z_03m40s.jpg	16	836,0,13,6	65	216,214,197	229.3
DJI_20260813183004_0001_Z_03m40s.jpg	17	97,3,15,12	70	227,228,212	223.8
DJI_20260813183004_0001_Z_03m40s.jpg	18	652,151,9,9	54	186,174,146	209.6
DJI_20260813183004_0001_Z_03m40s.jpg	19	205,1005,7,12	55	165,146,150	192.8
DJI_20260813183004_0001_Z_03m40s.jpg	20	161,360,9,16	53	137,119,125	192.3
DJI_20260813183004_0001_Z_03m40s.jpg	21	7,8,6,19	48	143,124,129	169.5
DJI_20260813183004_0001_Z_03m40s.jpg	22	901,218,7,7	37	30,23,38	151.2
DJI_20260813183004_0001_Z_03m40s.jpg	23	161,410,4,12	35	54,41,57	147.6
DJI_20260813183004_0001_Z_03m40s.jpg	24	1899,245,10,6	37	24,22,35	138.8
DJI_20260813183004_0001_Z_03m40s.jpg	25	734,715,9,11	39	136,117,122	134.4
DJI_20260813183004_0001_Z_03m40s.jpg	26	820,137,10,6	33	78,54,49	122.2
DJI_20260813183004_0001_Z_03m40s.jpg	27	33,341,4,9	29	98,81,91	117.5
DJI_20260813183004_0001_Z_03m40s.jpg	28	1003,528,11,7	32	65,72,82	115.4
DJI_20260813183004_0001_Z_03m40s.jpg	29	1359,49,8,7	32	26,21,34	114.7
DJI_20260813183004_0001_Z_03m40s.jpg	30	1177,116,8,7	33	31,36,36	112.5
DJI_20260813183004_0001_Z_03m40s.jpg	31	807,200,12,3	32	33,13,12	110.3
